product_name,product_category,manufacturer,product_price,product_description,product_image_url
"TK Classics Cushions-BARBADOS-12a-TANGERINE Cushions Patio Furniture, Tangerine",cushion,arc media inc.,2580.53,"Subtle, simple accessories often create a luxurious, decorative touch. Case in pt.: our practically perfect outdoor cushions. Eachpiece enhances the look of patio furniture while making it a more comfortable place to kick back.",https://images-na.ssl-images-amazon.com/images/I/41bxlzQniHL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31xere%2B0TQL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31RB6%2B-tkQL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31GSAG3%2BpGL._.jpg|https://images-na.ssl-images-amazon.com/images/I/21is7SDWKXL._.jpg|https://images-na.ssl-images-amazon.com/images/I/21wOQwynUlL._.jpg
MYFT 2 Pieces of Set Christmas Stockings Pet Paw Pattern Stockings Fireplace Hanging Stockings for Pet and Christmas Decoration,decorations,hummingbird communications,48.54,"100% brand new and high quality. Features: Enough capacity:large capacity can hold many items, such as toys, candies and other Christmas presents Cute and interesting appearance: with a clear pet claws pattern on the front, look very adorable and delicate Widely applicable: you can put it on Christmas trees or put it in front of the fireplace to decorate your home, suitable for Christmas Day, parties, school, classroom, house decorations, good to bring festival atmosphere Soft material: made of polyester and velvet, comfortable and smooth to touch, durable and will not easy to break, can last for a long time Package includes: come with 2 pieces pet Christmas stockings, sufficient for you to use in festival or daily life Specification material: Fleece cloth, non-woven fabric, etc. Height: 45cm / 17.72inch Socks: 20cm/7.87inch Color: As is shown in picture Note: 1.Please allow 1-2cm error due to manual measurement. pls make sure you do not mind before you bid. 2.Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you! Package includes(without retail package): 2 x christmas stockings",https://images-na.ssl-images-amazon.com/images/I/41aLBEsppnL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51I4sQ-LvoL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51Ttfi28RzL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51SY5aUOCiL._.jpg|https://images-na.ssl-images-amazon.com/images/I/5150i%2BUQwjL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41tesfFi7yL._.jpg|https://images-na.ssl-images-amazon.com/images/I/5127pTMMRLL._.jpg
uxcell Plastic Shell Suction Cup Wall Hook 4 Pcs Assorted Color,cup,microsoft,5.82,"Installation sites: Smooth surface (tile,glass ,graite ,stainless steel ,styrofoam plates and so on. No nails, No holes at wall). Applicated in kitchen, washroom, bedroom, wardrobe and so on. Please under 2Kg in each hook. Usage: Clean the surface of the wall with a dry cloth, then put the suction cup hardly until it sucks the surface.",https://images-na.ssl-images-amazon.com/images/I/31dgibGWLrL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31um-OjCIML._.jpg|https://images-na.ssl-images-amazon.com/images/I/31cnx2mXLgL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31NebUFqc3L._.jpg|https://images-na.ssl-images-amazon.com/images/I/31iSGiKbRVL._.jpg
"WYX Mirror Single Side Wall Hanging HD Imaging Wooden Frame Bathroom Dressing 2 Colours (Color : INKCOLOR, Size : 53X53CM)",Mirror,webroot software,260.75,"Name: Mirror quantity: 1 Color: brass, ink color Material: Silver, Oak Specifications: 53x53cm, 36x36cm product description: 1. The back has a hook design, can be installed on the wall, suitable for installation in the bathroom, bedroom, dressing room and other places 2. Glass is brittle, please check carefully when receiving the goods 3. products may have a slight color difference, please prevail in kind, manually measure the size, there is a 1-2 cm error",https://images-na.ssl-images-amazon.com/images/I/41BZ66P1xmL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41uwRdSUOLL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51EHuw7zH7L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41nWF5UcCnL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41D5qW8vAZL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61%2BC%2BBMldKL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51%2B636TT5AL._.jpg
Beautifully Decorated Lamps/Vintage Rustic Nordic Aluminum Metal Outdoor Wall Lantern Waterproof Wall Light Courtyard Gate Wall Sconce Glass Lantern Villa Garden Doorpost Balcony Decoration E27 Edis,decorations,lotus development,161.74,"Style: Nordic Modern creativity Colour: Coffee gold Material:Die-cast aluminum glass Wattage:60W（Maximum Bulb Base: E27 Voltage:90-260V,220V,110V Light source type: Incandescent bulbs, Energy saving lamp and LED bulbs Item Type:Wall Lamps Base Type:Creative wall light Application: outdoor Quantity: 1 Power Source:AC Installation Type:Wall Mounted Bulb Included or No : Bulbs Not Included Light color:Warm white, cold white ome light image to your home and your store, perfect for lighting and decoration purpose. 2.Energy Saving, build in led bulbs with low comsumption will help you to save the electricity bills and contribute to the environment virtually. Packing list: 1x wall lamp; 1 x Assembling Accessories",https://images-na.ssl-images-amazon.com/images/I/41BylLQzK5L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51f3vdFLgLL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51tiBIzCAqL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61209a-fjsL._.jpg|https://images-na.ssl-images-amazon.com/images/I/61oSyOivYUL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51PBAjGpFKL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41Zv7by2BjL._.jpg
"RADANYA Lady Printed Polyester Cushion Cover - 18x18 Inch, Black",cushion,csdc,13.22,"Digitally Printed Cushion Cover in Polyester fabric. Lab Certified for 1.Color Fastness 2.Stability to washing &amp; Rubbing 3.Good Seam Strength. 4. Cushion cover has Quilted Front Overlap Back. A Beautiful Gift for your loved ones. Custom Policy : Customer may be charged custom duty/taxes as per the import laws of the receiving country, which will be payable by the customer at the time of delivery to the carrier company. Shipper will not be responsible for any custom duty.",https://images-na.ssl-images-amazon.com/images/I/41s1uruRYtL._.jpg
Mediterranean Table Lamp Bedroom Bedside Lamp/Living Room Home Decoration Lamp Blue Glass CQQO (Color : Remote Control),bed,sonic systems inc.,212.62,"High-quality light source, no eye damage, easy to clean, simple shape, can be applied to a variety of decoration styles. Product Name: Table Lamp Product color: blue Light body material: glass Shade material: cloth Switch type: dimming / remote control / push button switch Light source type: warm light Product net weight: 3kg Size: 54 × 27cm Rated power: 31W-40W Rated voltage: 111V-240V Applicable space: living room, study, bedroom Please note: *If you are not satisfied with our products or have other questions, please let us know as soon as possible and we will respond within 24 hours. * If you recognize our products, please don't forget to leave a five-star rating, we appreciate your encouragement. *Because of the similarities and differences between measurement methods and techniques, 1-3CM errors will occur under normal conditions, please understand. * Although the image shows the most accurate color, the color may change due to computer monitoring. *Other products other than this product are not included in the sale.",https://images-na.ssl-images-amazon.com/images/I/41lpZq06C1L._.jpg|https://images-na.ssl-images-amazon.com/images/I/414v7gfLQCL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51pBT18n%2BHL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31SqNnlw%2B6L._.jpg|https://images-na.ssl-images-amazon.com/images/I/31ik61f9%2BML._.jpg|https://images-na.ssl-images-amazon.com/images/I/51SvZljLl%2BL._.jpg
"Allied Precision Industries Satellite Orbit Two Collection 18 Inch Towel Bar with Groovy Detail, Brown, 7251G/18-PB",towel,topics entertainment,141.65,The attractive Skyline Products like Towel bar are a must have in today's modern home and choosing the right towel bars can enhance the style of your bathroom also impressed to your guests. Brass finishes will impart a bright modern look and enhance the interior decor of the bathroom with different color finishes. Customer satisfaction is our first priority.,https://images-na.ssl-images-amazon.com/images/I/31B6JNGYo2L._.jpg
Cherry Blossom Peach Flower Garden Funny Square Throw Pillow Cases Cushion Cover for Bedroom Living Room Decorative 18X18 Inch,pillow,school zone interactive,12.98,"Made from quality comfortable and durable cotton material ,Natural eco-friendly materials.Please allow slight deviation for the color and measurement! please understanding, thanks!",https://images-na.ssl-images-amazon.com/images/I/41ue5Oa5smL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41O30vGpFBL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41cyQeM%2BmfL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51NQU-pRNqL._.jpg
CQ Nordic Creative Plug in Living Room Small Desk Lamp Eye Protection Reading Desk Dormitory Reading Bedroom Bedside Lamp,desk,ibm (aap misc parts),180.21,"Quantity: 1 The material is made of iron. Voltage: 111v-240v. Switch type: button switch. Style: antique style, full of artistic flavor. Light source: E27, incandescent lamp, LED, energy saving lamp, no lamp source.",https://images-na.ssl-images-amazon.com/images/I/31f9ZfxCQnL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51xYbZNjjNL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51j9r86Hs6L._.jpg
Abstract Round Design Book Doormat Entrance Mat Floor Mat Rug Indoor/Outdoor/Front Door/Bathroom Mats Rubber Non Slip 31.5 X 19.5 Inch,mat,topics entertainment,15.88,"Size:19.5&quotX 31.5&quot Material: Polyester and coral fleece Shape: Rectangle Craftsmanship: Reactive printing Feature: Super absorbent and easy get dried,fadeless; PVC latex non-slip bottom Usage: Perfect for any occasion,such as Valentine's Day Decor,Dating Decor, Bathroom Rugs,Bathroom Decor, Door Mat,Kitchen Mat, Coffee Table, Dinning Table, Bedroom Rug, Balcony Mat, Indoor Wedding Decor,Chair Cushion Pad,Store Decor/Welcome Mat,Pets Rug,Shoe Floor Mat,Toilet Mats, et",https://images-na.ssl-images-amazon.com/images/I/51KA7xX3-zL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51qjLj0Bn0L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41jhAr8Z0EL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51Y1rV25WWL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51JWw3iVZ6L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51NWzkhw2wL._.jpg
"Decorative Maple Leaf Cushions Cover, 45 x 45 cm Satin Cushioncase, Square Quilted with Zardosi Embroidery Throw Pillow Cover - Maple Palette",pillow,global software publishing,44.46,"Maple Palette is an exclusive 100% handmade decorative cushion cover designed and created with intrinsic detailing. A perfect item to decorate your living room, bedroom, office, couch, chair, sofa or bed. The real color may not be the exactly same as showing in the pictures due to the color difference of monitors. Condition: 100% Brand New Dimension: 18 x 18 inch / 45 x 45 cm Fabric: Printed Satin Material: Satin Color: Purple Color Map: Purple Back of the Cover: Plain fabric with hidden flap covered zipper for easy insertion and removal of inserts",https://images-na.ssl-images-amazon.com/images/I/515Hrw5Y-SL._.jpg|https://images-na.ssl-images-amazon.com/images/I/615HcvhqKFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41K8bBpm%2BQL._.jpg
"72&quot x 79&quot Shower Curtain, Bath Decor, Educational Shower Curtain Human Body Organ Print for Bathroom",curtain,broderbund,32.99,Waterproof It can provide you a dry and clean shower environment. ?�—————————————————————————————————————�?Sturdy and Durable Durable metal grommets reduce the risk of the shower curtain liner stretching or ripping. ?�—————————————————————————————————————�?Easy to clean and maintenance Only need basic maintenance of rinsing and wiping. Wipes clean it with a damp cloth as needed. Opening the liner up to fully dry after each use is recommended. Machine washable,https://images-na.ssl-images-amazon.com/images/I/51W1Dd3AoaL._.jpg
"The Pillow Collection Henriette Ikat Bedding Sham Indigo, EURO-ROB-PASHATEX-INDIGO-P100, Indigo, Queen/20&quot x 30&quot",pillow,stomp inc,133.42,"Enhance your indoor space by adding a few pieces of this unique decor sham. The combination of blue, grey and white hues in an ikat-inspired pattern lends a boho-inspired style to this throw sham. A perfect addition to your bedroom, living room and lounge area, this toss sham is made of 100% polyester fabric. Crafted in the USA. More Details: Reversible sham with same fabric on both sides.; Includes a hidden zipper for easy cover removal and cleaning.; Comes unfilled and will accommodate any standardized Euro, standard, queen and king pillow insert. All four sides have a clean knife-edge finish.; Made in the USA.; Dry cleaning recommended.",https://images-na.ssl-images-amazon.com/images/I/61%2BeSIwS4UL._.jpg
Royare Shower Curtain Shower Curtains Hotel shower curtain bathroom shower curtain waterproof padded bathroom curtain moldproof partition curtain hanging curtain solid color - width 220 * height 200cm,curtain,topics entertainment,93.34,"Easy to Clean Ready to hang Delivery time is 10-25 days, If you do not receive the order after 30 days, please contact us Product Name: Bathroom Shower Curtain Set Optional color: #1,#2 Available sizes:130*200cm , 130*180cm , 150*200cm , 150*180cm , 180*180cm , 180*200cm , 200*200cm , 240*200cm , 200*220cm , 200*240cm , 220*200cm Bath products category: shower curtain / shower rod Category: Bath Supplies Uses: used in bathrooms, hotels, hotels and other places. Features: waterproof and mildewproof. Thicken warm. Shading protection",https://images-na.ssl-images-amazon.com/images/I/310ILcQeHYL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41ivgyWmwXL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41OoGZy4CaL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41dPoamOXgL._.jpg
"Sofa Bed Large Triangular Cushion,Removable Upholstered Headboard Pillow,Protect Waist Double Soft Bag Bedside Back Cushions-Q 200x50x20cm(79x20x8inch),Q,180x50x20cm(71x20x8inch) LJJOZ",pillow,adobe,224.95,"The ergonomically designed sofa back provides effective support while reading and viewing, preventing many health problems. After receiving the item, please leave it for a few days to restore the best performance of the product. Package includes: bed back pad × 1 (excluding decorative items) Features: Simple Design,Comfortable Soft,high-quality materials, sweat-absorbent and breathable, natural fresh??Boasting a tranquil hue, this piece incorporates a sense of calm and relaxation, establishing an ideal room for rest??Specification Pillow Type:Bedhead Pillow/Daybed Backrest/Lumbar Support Cushion Pattern:Geometric Pattern Jacket Material:Canvas Filler:Chemical Fiber Style:Simple And Modern Tips: Can Not Be Under The Hard Sunshine Directly, Do Not Wash The Pillow Core. Please note: Although the image shows the most accurate color, the color may change due to the difference in the computer monitor. Note: There may be some errors in manual measurement, please refer to the actual product. Our product delivery time is 10-20 days. If you do not receive the product within 30 days, please contact us in time. If you have a problem with your product, please contact us and we will provide you with a reasonable solution.",https://images-na.ssl-images-amazon.com/images/I/41YF12HewFL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41rLo2GZ84L._.jpg
"72&quot x 79&quot Shower Curtain, Bath Decor, Asian Shower Curtain Artistic Zentangle Exotic Print for Bathroom",curtain,me too software,32.99,Waterproof It can provide you a dry and clean shower environment. ?�—————————————————————————————————————�?Sturdy and Durable Durable metal grommets reduce the risk of the shower curtain liner stretching or ripping. ?�—————————————————————————————————————�?Easy to clean and maintenance Only need basic maintenance of rinsing and wiping. Wipes clean it with a damp cloth as needed. Opening the liner up to fully dry after each use is recommended. Machine washable,https://images-na.ssl-images-amazon.com/images/I/617jbHKaeWL._.jpg
"HBJP Headboard Bed Cushions Flower Large Backrest Double Pillows Multifunction Washable, 8 Colors, 3 Sizes (Color, Purple, Size, 180x70cm),Pink1,120x70cm Bedside Large backrest",pillow,gen-x,213.2,"The product has a simple and stylish appearance, comfortable and durable material, fluffy and full texture The pillow is suitable for the bed, the sofa, protects the head and the waist from hardening, giving more warmth and reading support. The perfect cushion for the best comfort and posture support. Make your overall leisure experience more comfortable and enjoyable! Ideal for reading and watching TV on the bed; pillows, sofa cushions, backrests and headrests in the office. Features: hand-patterned design, exquisite appearance, live buckle design, invisible zipper, easy to remove and wash, skin-friendly, polished liner, good breathability, good dust resistance, nursing spine Home for personal use, can also be used as a gift to friends, to the elders, is a great decoration Scope: bedroom, bed, sofa, wall, studio, lounge area, reading room Style: modern, simple, stylish, wild, rustic Pattern: plant flowers Washing instructions: wash at room temperature, hang dry, can not be bleached, can not dry clean, pillow can not be washed The sofa cushion is more than just a fluffy pillow. It can also be used as a sturdy and fully formed backrest cushion that supports the entire upper body as a back pillow. If you have any questions or concerns, please feel free to contact us and we will get back to you within 24 hours. In addition to this product, the decorative photos displayed on the product are all props, not for sale, please understand. Due to manual measurement, there will be some deviation in size, and depending on the light and screen display, the color may vary from product to product, I hope you understand. Our products are delivered within 10-20 days. If you do not receive the product within 30 days, please contact us in time. If you have any questions, please contact us through Amazon, we will reply within 24 hours, I will give you a satisfactory answer, I hope you can make",https://images-na.ssl-images-amazon.com/images/I/51Rji9%2BBZwL._.jpg|https://images-na.ssl-images-amazon.com/images/I/51xXHrlpk8L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41mTq5XyKhL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41Y8FAXNnwL._.jpg
"72&quot x 79&quot Shower Curtain, Bath Curtain, Ornamental Circle Pattern Hand Draw Mandala Backgrounds Textures Abstract Vintage Fabric Bathroom Decor Set with Hooks",curtain,adobe,31.99,Waterproof It can provide you a dry and clean shower environment. ?�—————————————————————————————————————�?Sturdy and Durable Durable metal grommets reduce the risk of the shower curtain liner stretching or ripping. ?�—————————————————————————————————————�?Easy to clean and maintenance Only need basic maintenance of rinsing and wiping. Wipes clean it with a damp cloth as needed. Opening the liner up to fully dry after each use is recommended. Machine washable,https://images-na.ssl-images-amazon.com/images/I/51BzKhRt2jL._.jpg
Bacon Cat in Space design Decorative Handmade Solid Cotton Throw Pillow Covers,pillow,topics entertainment,10.49,"This cushion set is really beautiful home decor item that can brighten up any room. these cushions and imparts the room a royal look. If you're looking for something to add some ethnic style, color, and sparkle than look no further. Get these amazing Square pillow covers for a price you won't find in any store .",https://images-na.ssl-images-amazon.com/images/I/51SYWiFIkIL._.jpg
DIYthinker Russia City National Symbol Illustration Circlet Towels Soft Towel Washcloth 13X29 inch 13 X 29 inch White,DIY,topics entertainment,18.49,Size: 13 x 29 InchClassification: TowelFeature: Full color printing;Fast drying soft and highly Absorbency;Turn your bathroom into your own personal oasis with this towel perfect for drying you off in style.Material: Superfine fiberPackage Quantity: 1 x towel,https://images-na.ssl-images-amazon.com/images/I/31odB-rRviL._.jpg|https://images-na.ssl-images-amazon.com/images/I/31bnOcIa1eL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41ZUVRb%2BSXL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41f-5-UHO2L._.jpg
ZLXXYD Night Light Table Lamp Tank 3D Illusion USB Touch Sensor 7 Color Changing Child Kid Gift Fps Game Weapon Night Light Led Desk Decoration,desk,x-oom,27.85,Material:Acrylic Type:Night Light Light Source:LED Bulbs Is Batteries Included:No Battery Type:usb+AA Color:7 color changing and 1 flashing mode,https://images-na.ssl-images-amazon.com/images/I/51kwiSEeU2L._.jpg|https://images-na.ssl-images-amazon.com/images/I/51leEi8oRBL._.jpg|https://images-na.ssl-images-amazon.com/images/I/41JFhLXI8bL._.jpg|https://images-na.ssl-images-amazon.com/images/I/419RtByAv8L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41k1zOdfC2L._.jpg
NYDZDM Children's Drawing Desktop Easel Folding Easel Wooden Display Easel Display Stand Poster Frame Advertising Rack (Size : 19.5x25.5x36cm),desk,valusoft,79.6,"Wooden Drawing Board Table Canvas Workstation Sketch Easel The drawing board is suitable for a large range of art and craft projects. Ideal easel for both indoor and outdoor painting, for both floor and table-top picture display. Model: easel board Category: Wood Height adjustable: adjustable Applicable for desktop exhibition, photo exhibition, showcase, painting display stand, advertising holder, sketching easel. This product only sells easels and does not contain other products. If you have any questions, please contact us through Amazon's messaging system, we will respond to you within 24 hours and give you a satisfactory answer.",https://images-na.ssl-images-amazon.com/images/I/41QalraQJ8L._.jpg|https://images-na.ssl-images-amazon.com/images/I/41xzv3-9URL._.jpg
